n	logs.Storm.topovi-abs-e3-g5shifted	logs.Storm.topoii-abs-e3-g5shifted	logs.Storm.ii-abs-e3-g5shifted	logs.Storm.topopi-abs-e3-g5shifted	logs.Storm.topopi-abs-einfshifted	logs.Storm.topoii-abs-e3-g01shifted	logs.Storm.topoii-abs-e3-g1shifted	logs.Storm.topoii-abs-e3-g25shifted	logs.Storm.topoii-abs-e3-g75shifted	logs.Storm.topoii-abs-e3-g9shifted	logs.Storm.topoii-abs-e3-g99shifted	logs.Storm.topoii-abs-e1-g5shifted	logs.Storm.topoii-abs-e2-g5shifted	logs.Storm.topoii-abs-e4-g5shifted	logs.Storm.topoii-abs-e5-g5shifted	logs.Storm.topoii-abs-e6-g5shifted	logs.mcsta.ii-rel-e3-g5shifted	logs.mcsta.vi-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g01shifted	logs.mcsta.ii-abs-e3-g1shifted	logs.mcsta.ii-abs-e3-g25shifted	logs.mcsta.ii-abs-e3-g5shifted	logs.mcsta.ii-abs-e3-g75shifted	logs.mcsta.ii-abs-e3-g9shifted	logs.mcsta.ii-abs-e3-g99shifted	logs.mcsta.ii-abs-e1-g5shifted	logs.mcsta.ii-abs-e2-g5shifted	logs.mcsta.ii-abs-e4-g5shifted	logs.mcsta.ii-abs-e5-g5shifted	logs.mcsta.ii-abs-e6-g5shifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.44553542137145996	0.40372633934020996	0.4489622116088867	0.42677807807922363	0.43204760551452637	0.45121002197265625	0.42572450637817383	0.4612910747528076	0.44399189949035645	0.4372892379760742	0.45920252799987793	0.4466745853424072	0.4112973213195801	0.4265758991241455	0.25	0.40372633934020996		0.25
2	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.45416927337646484	0.4233102798461914	0.46378231048583984	0.44614148139953613	0.44559454917907715	0.45416998863220215	0.44098806381225586	0.4667234420776367	0.45095133781433105	0.44533324241638184	0.4702174663543701	0.4468202590942383	0.4479076862335205	0.4365968704223633	0.25	0.4112973213195801		0.25
3	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.45700573921203613	0.42909765243530273	0.46556591987609863	0.45095014572143555	0.44863176345825195	0.45975208282470703	0.44948554039001465	0.4716761112213135	0.4540538787841797	0.452028751373291	0.4721047878265381	0.4483835697174072	0.45751047134399414	0.4408881664276123	0.25	0.4233102798461914		0.25
4	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.469402551651001	0.43892502784729004	0.47362184524536133	0.4516639709472656	0.44994640350341797	0.4598276615142822	0.4500720500946045	0.4981503486633301	0.45584893226623535	0.4577803611755371	0.48009753227233887	0.45053553581237793	0.4682011604309082	0.44557785987854004	0.25	0.42572450637817383		0.25
5	0.25	0.25	0.25	0.25	2.5155675411224365	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.46948933601379395	0.44262003898620605	0.48650264739990234	0.468595027923584	0.45353198051452637	0.46935343742370605	0.45509934425354004	0.5026893615722656	0.4568018913269043	0.4590167999267578	0.4909822940826416	0.4549286365509033	0.47249770164489746	0.4477362632751465	0.25	0.42677807807922363		0.25
6	0.25	0.25	0.25	0.25	9.19669795036316	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.4718284606933594	0.4598109722137451	0.500636100769043	0.4694826602935791	0.45659804344177246	0.47031283378601074	0.45538783073425293	0.5074725151062012	0.4647848606109619	0.4732983112335205	0.5028674602508545	0.4580552577972412	0.4818761348724365	0.46371912956237793	0.25	0.42909765243530273		0.25
7	0.25	0.25	0.25	0.25	9.289561986923218	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.47444677352905273	0.46173787117004395	0.5009555816650391	0.4741952419281006	0.46265363693237305	0.47057676315307617	0.46538209915161133	0.507889986038208	0.4813730716705322	0.4791531562805176	0.5099587440490723	0.4599757194519043	0.5078983306884766	0.47366762161254883	0.25	0.43892502784729004		0.25
8	0.25	0.25	0.25	0.25	10.553938388824463	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.483717679977417	0.4681568145751953	0.5126872062683105	0.47446775436401367	0.48093533515930176	0.47695231437683105	0.4678614139556885	0.5098390579223633	0.4870030879974365	0.4813563823699951	0.5191195011138916	0.4744532108306885	0.510617733001709	0.47862768173217773	0.25	0.4408881664276123		0.25
9	0.25	0.25	0.25	0.25	11.902109861373901	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.48681163787841797	0.46827244758605957	0.5144650936126709	0.49117445945739746	0.48562192916870117	0.4838383197784424	0.4771096706390381	0.5197179317474365	0.4948856830596924	0.48760223388671875	0.5231480598449707	0.4785771369934082	0.5126230716705322	0.49530625343322754	0.25	0.44262003898620605		0.25
