benchmark	Type	Orig	Prop	Class	logs.Storm.topovi-abs-e3-g5	logs.Storm.topoii-abs-e3-g5	logs.Storm.ii-abs-e3-g5	logs.Storm.topopi-abs-e3-g5	logs.Storm.topopi-abs-einf	logs.Storm.topoii-abs-e3-g01	logs.Storm.topoii-abs-e3-g1	logs.Storm.topoii-abs-e3-g25	logs.Storm.topoii-abs-e3-g75	logs.Storm.topoii-abs-e3-g9	logs.Storm.topoii-abs-e3-g99	logs.Storm.topoii-abs-e1-g5	logs.Storm.topoii-abs-e2-g5	logs.Storm.topoii-abs-e4-g5	logs.Storm.topoii-abs-e5-g5	logs.Storm.topoii-abs-e6-g5	logs.mcsta.ii-rel-e3-g5	logs.mcsta.vi-abs-e3-g5	logs.mcsta.ii-abs-e3-g01	logs.mcsta.ii-abs-e3-g1	logs.mcsta.ii-abs-e3-g25	logs.mcsta.ii-abs-e3-g5	logs.mcsta.ii-abs-e3-g75	logs.mcsta.ii-abs-e3-g9	logs.mcsta.ii-abs-e3-g99	logs.mcsta.ii-abs-e1-g5	logs.mcsta.ii-abs-e2-g5	logs.mcsta.ii-abs-e4-g5	logs.mcsta.ii-abs-e5-g5	logs.mcsta.ii-abs-e6-g5	best
bitcoin-attack.20-6.Multi	ma	modest	M	2obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-4-5.Multi	ma	modest	M	ge4obj	1024	2048	2048	2048	2048	1024	1024	2048	2048	1024	2048	2048	2048	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-4-25.Multi	ma	modest	M	ge4obj	1024	2048	2048	2048	2048	1024	1024	2048	2048	1024	2048	2048	2048	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-6-25.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-6-50.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-6-100.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-8-5.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-8-25.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.4-8-100.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
dpm.6-4-5.Multi	ma	modest	M	ge4obj	1024	1024	1024	2048	2048	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048	2048
